phases,sfcode,numfr,numint,weight
CM Topsoil,ZZZ,0,1,10
CM Topsoil,PSN,1,0,100
CM Topsoil,EPZ,0,1,1
CN Medieval,MTR,2,0,43
CN Medieval,TOO,0,1,3
CN Topsoil,CLO,1,0,5
CN Topsoil,LAM,3,0,20
CN Topsoil,LAM,1,0,27
CN Topsoil,CLO,1,0,1
CN Topsoil,SLA,0,1,4
CN Topsoil,SLA,0,1,5
CN Topsoil,SLA,0,1,5
CN Topsoil,SLA,0,1,8
CN Topsoil,SLA,0,1,12
CN Topsoil,TAC,3,1,0
CN1,CLO,1,0,13
CN1,YYY,3,0,1
CN1,LAM,2,0,11
CN1,SLA,0,1,24
CN1,SCU,1,0,665
CN1,LAM,6,0,44
CN1,LAM,2,0,7
CN1,LAM,3,0,3
CN1,YYY,2,0,1
CN1,CLO,1,0,3
CN1,CLO,2,0,17
CN1,CLO,1,0,8
CN1,LAM,39,0,21
CN1,CLO,1,0,15
CN1,CLO,1,0,6
CN1,CLO,1,0,8
CN1,CLO,1,0,10
CN1,PDH,0,1,4
CN1,PDH,1,1,4
CN1,CLO,0,1,31
CN1,SLA,0,1,49
CN1,SLA,6,0,108
CN1,SPV,0,1,1
CN1,CLO,1,0,2
CN1,CLO,1,0,5
CN1,LAM,2,0,2
CN1,ANO,0,1,31
CN1,APH,2,0,6
CN1,YYY,3,0,2
CN1,COZ,0,1,115
CN1,APH,1,0,1
CN1,CLO,1,0,20
CN1,CLO,0,1,6
CN1,CLO,1,0,9
CN1,CLO,0,1,19
CN1,CLO,1,0,14
CN1,LAM,3,0,10
CN1,PMA,4,0,285
CN1,CLO,1,0,8
CN1,LAM,2,0,9
CN1,LAM,2,0,13
CN1,LAM,3,0,220
CN1,CLO,1,0,2
CN1,CLO,0,1,24
CN1,CLO,1,0,16
CN1,FLW,0,1,72
CN1,FLW,1,0,27.6
CN1,FLW,3,0,95
CN1,YYY,1,0,1
CN1,YYY,1,0,0
CN1,YYY,11,0,6
CN2,CLO,,,
CN2,SLA,0,1,35
CN2,SLA,0,1,64
CN2,SLA,0,1,6
CN2,SLA,0,1,8
CN2,SLA,0,1,117
CN2,SLA,0,1,4
CN2,SLA,1,2,21
CN2,CLO,10,0,20.58
CN2,SLA,0,1,7
CN2,CLO,,,
CN2,TES,0,1,0.5
CN2,CLO,,,
CN2,CLO,,,
CN2,CLO,1,0,44
CN2,CLO,1,0,14
CN2,CLO,1,0,13
CN2,CLO,1,0,17
CN2,CLO,0,1,23
CN2,CLO,,,
CN2,CLO,1,0,12
CN2,CLO,1,0,25
CN2,SLA,0,1,4
CN2,CLO,1,0,9
CN2,CLO,,,
CN2,CLO,,,
CN2,CLO,1,0,11
CN2,MEU,1,0,
CN2,CLO,4,0,21
CN2,CLO,1,0,29
CN2,CLO,,,
CN2,CHA,3,1,70
CN2,YYY,1,0,19
CN2,BTN,3,0,1
CN2,YYY,3,0,3
CN2,BIN,0,1,2.72
MZ Topsoil,CLO,0,1,43
MZ Topsoil,PGR,1,0,849
MZ Topsoil,PDS,0,2,814
MZ Topsoil,YYY,1,0,3
MZ Topsoil,PDS,0,1,225
