Source,Target,Type,Id,Label,timeset,Weight
1,60,Directed,0,,,1
2,61,Directed,1,,,1
61,62,Directed,2,,,1
3,63,Directed,3,,,1
4,65,Directed,4,,,1
4,66,Directed,5,,,1
9,74,Directed,63,,,1
8,68,Directed,7,,,1
68,69,Directed,8,,,1
26,75,Directed,9,,,1
47,84,Directed,10,,,1
27,77,Directed,11,,,1
12,72,Directed,12,,,1
72,71,Directed,13,,,1
77,62,Directed,67,,,1
19,74,Directed,15,,,1
28,96,Directed,108,,,1
22,74,Directed,17,,,1
17,88,Directed,19,,,1
88,69,Directed,20,,,1
32,88,Directed,21,,,1
39,61,Directed,22,,,1
44,61,Directed,23,,,1
15,73,Directed,24,,,1
73,64,Directed,25,,,1
18,73,Directed,26,,,1
59,87,Directed,27,,,1
87,62,Directed,28,,,1
41,70,Directed,29,,,1
34,90,Directed,30,,,1
58,85,Directed,64,,,1
89,71,Directed,59,,,1
79,64,Directed,33,,,1
54,89,Directed,34,,,1
11,72,Directed,35,,,1
55,60,Directed,36,,,1
60,62,Directed,37,,,1
14,88,Directed,39,,,1
48,90,Directed,40,,,1
57,85,Directed,41,,,1
85,64,Directed,42,,,1
46,65,Directed,43,,,1
65,62,Directed,44,,,1
20,68,Directed,45,,,1
42,81,Directed,46,,,1
42,82,Directed,47,,,1
81,62,Directed,48,,,1
82,62,Directed,49,,,1
33,77,Directed,50,,,1
53,72,Directed,51,,,1
52,65,Directed,52,,,1
52,66,Directed,53,,,1
74,71,Directed,54,,,1
38,79,Directed,55,,,1
45,69,Directed,58,,,1
89,64,Directed,61,,,1
91,77,Directed,66,,,1
90,77,Directed,68,,,1
23,62,Directed,69,,,1
91,71,Directed,70,,,1
91,74,Directed,71,,,1
23,64,Directed,72,,,1
56,85,Directed,73,,,1
93,67,Directed,74,,,1
67,62,Directed,75,,,1
21,62,Directed,76,,,1
47,83,Directed,77,,,1
83,62,Directed,78,,,1
49,87,Directed,79,,,1
25,92,Directed,80,,,1
87,94,Directed,81,,,1
65,94,Directed,82,,,1
77,94,Directed,83,,,1
90,94,Directed,84,,,1
16,73,Directed,85,,,1
10,72,Directed,86,,,1
6,70,Directed,87,,,1
70,84,Directed,88,,,1
84,83,Directed,89,,,1
40,80,Directed,90,,,1
80,69,Directed,91,,,1
24,60,Directed,92,,,1
92,64,Directed,93,,,1
51,66,Directed,94,,,1
13,70,Directed,95,,,1
75,76,Directed,96,,,1
63,62,Directed,97,,,1
3,72,Directed,98,,,1
50,85,Directed,99,,,1
7,65,Directed,100,,,1
7,92,Directed,101,,,1
7,66,Directed,102,,,1
36,62,Directed,103,,,1
36,64,Directed,104,,,1
35,70,Directed,105,,,1
29,88,Directed,106,,,1
86,76,Directed,107,,,1
28,95,Directed,109,,,1
95,62,Directed,110,,,1
96,76,Directed,111,,,1
48,97,Directed,112,,,1
97,62,Directed,113,,,1
74,72,Directed,114,,,1
9,73,Directed,115,,,1
9,66,Directed,116,,,1
66,94,Directed,117,,,1
33,97,Directed,118,,,1
59,97,Directed,119,,,1
91,66,Directed,120,,,1
70,98,Directed,121,,,1
98,62,Directed,122,,,1
28,60,Directed,123,,,1
21,98,Directed,124,,,1
91,62,Directed,125,,,1
43,99,Directed,126,,,1
99,62,Directed,127,,,1
99,64,Directed,128,,,1
83,99,Directed,129,,,1
60,64,Directed,130,,,1
61,94,Directed,131,,,1
94,62,Directed,132,,,1
90,62,Directed,133,,,1
23,71,Directed,134,,,1
21,64,Directed,135,,,1
21,71,Directed,136,,,1
69,76,Directed,137,,,1
100,82,Directed,138,,,1
100,81,Directed,139,,,1
92,76,Directed,140,,,1
89,76,Directed,141,,,1
51,64,Directed,142,,,1
52,64,Directed,143,,,1
60,94,Directed,144,,,1
63,94,Directed,145,,,1
91,64,Directed,146,,,1
79,76,Directed,147,,,1
101,86,Directed,151,,,1
3,86,Directed,150,,,1
101,53,Directed,152,,,1
104,87,Directed,153,,,1
102,104,Directed,154,,,1
102,103,Directed,158,,,1
105,76,Directed,156,,,1
103,105,Directed,157,,,1
106,88,Directed,159,,,1
29,60,Directed,160,,,1
107,99,Directed,161,,,1
110,72,Directed,162,,,1
111,72,Directed,163,,,1
108,72,Directed,164,,,1
113,76,Directed,165,,,1
109,76,Directed,166,,,1
114,76,Directed,167,,,1
112,72,Directed,168,,,1
67,64,Directed,169,,,1
115,105,Directed,170,,,1
115,68,Directed,171,,,1
