sfcode,quantmethod
AGS,c
AIG,c
AIP,c
ALN,c
ANO,c
APH,c
APP,c
BAG,c
BIN,c
BQY,p
BQZ,p
BRQ,p
BTH,c
BTN,c
CDN,c
CHA,c
CHE,c
CLE,c
CLO,w
COL,c
COZ,c
CRA,c
CRD,c
CRS,c
DEC,c
DEJ,c
ECL,c
EPE,c
EPG,c
EPZ,c
FIB,c
FLW,w
HEM,w
JHA,c
KNO,c
LAM,w
LMP,c
NVT,c
PCT,c
PDH,c
PDS,c
MEU,c
PSN,c
PZZ,c
SCA,c
SGT,c
SLA,w
SPA,c
SPV,c
STU,c
TAC,c
TEG,p
TES,c
TOO,c
VSH,c
VSL,c
VSR,c
WAS,c
TGE,p
MVO,c
PGR,c
MTR,p
PCO,p
SCU,p
PAR,p
DAU,p
OPS,p
PMA,p
INS,p
BLV,c
MON,c
